n,obs_mean,fc_mean,bias,mae,rmse,corr,model,obs,lead_day,lat_band
23000,6.14319880218095,5.5174726489241355,-0.6257261532568144,5.693779782380579,10.485209797703966,0.30035462113841466,graphcast,ERA5,5,10S_to_equator
23000,2.3199768076625236,3.186793944950499,0.8668171372879752,3.1502556446553283,5.361123099244288,0.264194115179952,graphcast,ERA5,5,equator_to_10N
11500,0.5062847084929651,1.1604078951455328,0.6541231866525676,1.1577601286004788,2.3503172771232337,0.2468090622035917,graphcast,ERA5,5,north_of_10N
6900,5.494030496297824,2.629385754787118,-2.8646447415107064,4.4026931684177635,11.870168029235405,0.30814550756600373,fourcastnet,ERA5,7,south_of_10S
23000,6.109388483000872,3.7509386104667297,-2.3584498725341425,4.4154419752374245,9.83248532539521,0.45810976958914584,fourcastnet,ERA5,7,10S_to_equator
23000,2.3427992561757773,1.842123019170436,-0.5006762370053408,2.028893543555818,4.6834462451613375,0.45916640683668575,fourcastnet,ERA5,7,equator_to_10N
11500,0.49649989179935566,0.5015229417904017,0.005023049991045987,0.5887961371894742,1.8896468873193406,0.3804867866346127,fourcastnet,ERA5,7,north_of_10N
6900,5.494030496297824,5.128291158388545,-0.3657393379092795,4.316252099404112,10.837614251653408,0.45530909029869243,gencast,ERA5,7,south_of_10S
23000,6.109388483000872,5.68384686003376,-0.42554162296711284,4.178220936244942,9.139681685970844,0.544208055280455,gencast,ERA5,7,10S_to_equator
23000,2.3427992561757773,2.4689472453515293,0.12614798917575154,2.08494592176379,4.276836398246597,0.5280531407743101,gencast,ERA5,7,equator_to_10N
11500,0.49649989179935566,0.4279875436545957,-0.06851234814475997,0.4558351967710316,1.5657389973534757,0.5027817549177398,gencast,ERA5,7,north_of_10N
6900,5.494030496297824,5.159722923135142,-0.33430757316268184,5.784720697441024,12.518764469818965,0.16896482276069566,graphcast,ERA5,7,south_of_10S
23000,6.109388483000872,5.67421970347882,-0.43516877952205274,6.331197558760775,11.012481947788721,0.17313586662314712,graphcast,ERA5,7,10S_to_equator
23000,2.3427992561757773,3.8696648126504507,1.5268655564746731,3.844888605087517,6.17217032229437,0.12956756124267924,graphcast,ERA5,7,equator_to_10N
