hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,observed_event_rate,forecast_event_rate,model,obs,lead_day,threshold_mm_day,season
86,3183,625,179914,0.026307739369837872,0.8790436005625879,0.022085259373394967,0.2174977057204038,0.01778486246518106,0.003868166782729805,graphcast,CHIRPS,3,20,annual
48533,10064,31398,93813,0.828250593033773,0.39281380190414233,0.5392855158619924,1.3640800723586533,0.31879461176880225,0.43486137708913647,neuralgcm,CHIRPS,3,1,annual
15965,13484,18019,136340,0.5421236714319672,0.5302201035781544,0.33633184461110643,1.153995042276478,0.1602160950557103,0.18488857938718664,neuralgcm,CHIRPS,3,5,annual
2924,10838,6767,163279,0.21246911786077605,0.6982767516252193,0.14243265624238882,0.7041854381630577,0.07487160515320335,0.05272349408077994,neuralgcm,CHIRPS,3,10,annual
179,3090,511,180028,0.05475680636280208,0.7405797101449275,0.04735449735449736,0.21107372285102477,0.01778486246518106,0.00375391713091922,neuralgcm,CHIRPS,3,20,annual
39332,19070,19412,105994,0.6734700866408685,0.3304507694402833,0.5054617421029635,1.005855963836855,0.3177337221448468,0.31959435933147634,fourcastnet,CHIRPS,5,1,annual
9935,19392,8832,145649,0.33876632454734545,0.4706133105983908,0.26035797583794124,0.6399222559416238,0.1595523589832869,0.10210110550139276,fourcastnet,CHIRPS,5,5,annual
2091,11588,3572,166557,0.1528620513195409,0.630761080699276,0.12121036461654397,0.4139922508955333,0.07442004700557103,0.030809322771587745,fourcastnet,CHIRPS,5,10,annual
141,3067,543,180057,0.04395261845386534,0.793859649122807,0.037589976006398296,0.21321695760598502,0.01745299442896936,0.003721274373259053,fourcastnet,CHIRPS,5,20,annual
46940,11462,25418,99988,0.803739597958974,0.3512811299372564,0.5600095442615127,1.2389644190267457,0.3177337221448468,0.39366077646239556,gencast,CHIRPS,5,1,annual
16782,12545,16177,138304,0.57223718757459,0.4908219302770108,0.36880274261603374,1.1238449210625021,0.1595523589832869,0.17931210828690808,gencast,CHIRPS,5,5,annual
4270,9409,7806,162323,0.31215732144162583,0.6464060947333554,0.19874330928554806,0.8828130711309307,0.07442004700557103,0.06569899025069638,gencast,CHIRPS,5,10,annual
317,2891,1224,179376,0.09881546134663341,0.7942894224529526,0.07152527075812275,0.4803615960099751,0.01745299442896936,0.008383748259052925,gencast,CHIRPS,5,20,annual
47295,11107,47488,77918,0.8098181569124345,0.5010181150628277,0.4466427424685995,1.6229409951713982,0.3177337221448468,0.5156630832172702,graphcast,CHIRPS,5,1,annual
10974,18353,19330,135151,0.374194428342483,0.6378695881731784,0.22553794931870028,1.0333140109796433,0.1595523589832869,0.16486768802228413,graphcast,CHIRPS,5,5,annual
1721,11958,6960,163169,0.12581329044520798,0.801750950351342,0.0833858229565386,0.6346224139191461,0.07442004700557103,0.04722862987465181,graphcast,CHIRPS,5,10,annual
71,3137,486,180114,0.02213216957605985,0.8725314183123878,0.0192203573362209,0.1736284289276808,0.01745299442896936,0.0030303360027855155,graphcast,CHIRPS,5,20,annual
48286,10116,31181,94225,0.8267867538782918,0.3923767098292373,0.5390085172409944,1.3606897024074518,0.3177337221448468,0.43233700383008355,neuralgcm,CHIRPS,5,1,annual
14857,14470,16447,138034,0.5065980154806151,0.5253961155123946,0.3245729016472233,1.0674122821972927,0.1595523589832869,0.17030814763231197,neuralgcm,CHIRPS,5,5,annual
