model,obs,lead_day,threshold_mm_day,forecast_probability,observed_frequency,count,abs_calibration_gap,weighted_abs_gap,ece
gencast,CHIRPS,3,20,0.6,0.2074074074074074,135,0.3925925925925926,0.0011251698369565217,0.021178668478260873
gencast,CHIRPS,3,20,0.7,0.2604166666666667,96,0.43958333333333327,0.0008958899456521737,0.021178668478260873
gencast,CHIRPS,3,20,0.8,0.36764705882352944,68,0.4323529411764706,0.0006241508152173913,0.021178668478260873
gencast,CHIRPS,3,20,0.9,0.5384615384615384,39,0.3615384615384616,0.0002993376358695653,0.021178668478260873
gencast,CHIRPS,3,20,1.0,0.46808510638297873,47,0.5319148936170213,0.0005307404891304349,0.021178668478260873
gencast,CHIRPS,5,1,0.0,0.0808030252474697,17982,0.0808030252474697,0.03084663722826087,0.10552394701086956
gencast,CHIRPS,5,1,0.1,0.2187651920272241,4114,0.1187651920272241,0.010372792119565218,0.10552394701086956
gencast,CHIRPS,5,1,0.2,0.29358520267611177,2541,0.09358520267611176,0.005048403532608695,0.10552394701086956
gencast,CHIRPS,5,1,0.3,0.37831655992680696,2186,0.07831655992680697,0.003634510869565218,0.10552394701086956
gencast,CHIRPS,5,1,0.4,0.4143077714873906,1943,0.014307771487390597,0.000590183423913042,0.10552394701086956
gencast,CHIRPS,5,1,0.5,0.45719940623453736,2021,0.042800593765462636,0.0018363620923913038,0.10552394701086956
gencast,CHIRPS,5,1,0.6,0.5350961538461538,2080,0.06490384615384615,0.0028659986413043475,0.10552394701086956
gencast,CHIRPS,5,1,0.7,0.595968448729185,2282,0.10403155127081498,0.005039911684782604,0.10552394701086956
gencast,CHIRPS,5,1,0.8,0.6512441679626749,2572,0.14875583203732512,0.008122452445652179,0.10552394701086956
gencast,CHIRPS,5,1,0.9,0.7350993377483444,3473,0.16490066225165567,0.012158203125000003,0.10552394701086956
gencast,CHIRPS,5,1,1.0,0.8006768189509307,5910,0.19932318104906932,0.02500849184782608,0.10552394701086956
gencast,CHIRPS,5,5,0.0,0.0415136458558364,27774,0.0415136458558364,0.024477751358695652,0.06938476562500001
gencast,CHIRPS,5,5,0.1,0.19562452302213176,3931,0.09562452302213176,0.007980213994565217,0.06938476562500001
gencast,CHIRPS,5,5,0.2,0.26811594202898553,2760,0.06811594202898552,0.00399116847826087,0.06938476562500001
gencast,CHIRPS,5,5,0.3,0.31173748422381153,2377,0.011737484223811545,0.0005923063858695661,0.06938476562500001
gencast,CHIRPS,5,5,0.4,0.37144283574638043,2003,0.028557164253619594,0.0012143342391304358,0.06938476562500001
gencast,CHIRPS,5,5,0.5,0.4165398274987316,1971,0.08346017250126841,0.003492272418478262,0.06938476562500001
gencast,CHIRPS,5,5,0.6,0.48579881656804735,1690,0.11420118343195262,0.004097316576086955,0.06938476562500001
gencast,CHIRPS,5,5,0.7,0.5153793574846206,1463,0.18462064251537935,0.005734120244565218,0.06938476562500001
gencast,CHIRPS,5,5,0.8,0.5791505791505791,1295,0.22084942084942094,0.006071671195652176,0.06938476562500001
gencast,CHIRPS,5,5,0.9,0.6238437821171634,973,0.2761562178828366,0.005704398777173913,0.06938476562500001
gencast,CHIRPS,5,5,1.0,0.6724336793540946,867,0.3275663206459054,0.006029211956521739,0.06938476562500001
gencast,CHIRPS,5,10,0.0,0.028985507246376812,33741,0.028985507246376812,0.020762567934782608,0.04707880434782608
gencast,CHIRPS,5,10,0.1,0.14046511627906977,4300,0.04046511627906976,0.0036939538043478256,0.04707880434782608
gencast,CHIRPS,5,10,0.2,0.1965296114673708,2651,0.0034703885326292094,0.00019531250000000072,0.04707880434782608
gencast,CHIRPS,5,10,0.3,0.25202839756592293,1972,0.047971602434077054,0.0020083220108695642,0.04707880434782608
gencast,CHIRPS,5,10,0.4,0.2757679180887372,1465,0.12423208191126284,0.0038637907608695668,0.04707880434782608
gencast,CHIRPS,5,10,0.5,0.33614232209737827,1068,0.16385767790262173,0.0037151834239130435,0.04707880434782608
gencast,CHIRPS,5,10,0.6,0.3669590643274854,684,0.2330409356725146,0.003384001358695652,0.04707880434782608
gencast,CHIRPS,5,10,0.7,0.37349397590361444,498,0.3265060240963855,0.003451936141304347,0.04707880434782608
gencast,CHIRPS,5,10,0.8,0.4431137724550898,334,0.35688622754491023,0.0025305706521739136,0.04707880434782608
gencast,CHIRPS,5,10,0.9,0.5245098039215687,204,0.37549019607843137,0.0016261888586956523,0.04707880434782608
gencast,CHIRPS,5,10,1.0,0.5347593582887701,187,0.4652406417112299,0.0018469769021739128,0.04707880434782608
gencast,CHIRPS,5,20,0.0,0.012964751327860936,41420,0.012964751327860936,0.011400305706521738,0.022467306385869565
gencast,CHIRPS,5,20,0.1,0.0779801853627357,3129,0.02201981463726431,0.0014627207880434788,0.022467306385869565
gencast,CHIRPS,5,20,0.2,0.10024449877750612,1227,0.0997555012224939,0.002598505434782609,0.022467306385869565
gencast,CHIRPS,5,20,0.3,0.1509433962264151,583,0.1490566037735849,0.0018448539402173914,0.022467306385869565
gencast,CHIRPS,5,20,0.4,0.14432989690721648,291,0.25567010309278354,0.0015794836956521741,0.022467306385869565
gencast,CHIRPS,5,20,0.5,0.22674418604651161,172,0.2732558139534884,0.0009977921195652175,0.022467306385869565
gencast,CHIRPS,5,20,0.6,0.28125,96,0.31875,0.0006496263586956521,0.022467306385869565
gencast,CHIRPS,5,20,0.7,0.2808988764044944,89,0.41910112359550555,0.0007918648097826086,0.022467306385869565
