hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,observed_event_rate,forecast_event_rate,model,obs,lead_day,threshold_mm_day
24738,3510,11864,24288,0.8757434154630417,0.3241352931533796,0.6167231751096929,1.295737751345228,0.4386335403726708,0.5683540372670808,neuralgcm,ERA5,3,1
9002,4693,6395,44310,0.6573201898503104,0.4153406507761252,0.4480836236933798,1.1242789339174881,0.2126552795031056,0.23908385093167703,neuralgcm,ERA5,3,5
2871,4376,2929,54224,0.3961639299020284,0.505,0.2821344339622642,0.8003311715192494,0.11253105590062112,0.09006211180124224,neuralgcm,ERA5,3,10
440,2032,773,61155,0.1779935275080906,0.6372629843363561,0.13559322033898305,0.4906957928802589,0.03838509316770186,0.018835403726708076,neuralgcm,ERA5,3,20
21037,7042,5154,31167,0.7492075928629937,0.1967851552059868,0.6330153762826106,0.932761138217173,0.43600931677018634,0.40669254658385096,fourcastnet,ERA5,5,1
6499,6998,3034,47869,0.48151441060976513,0.318262876324347,0.3931401609098058,0.7063051048381122,0.20958074534161492,0.14802795031055901,fourcastnet,ERA5,5,5
2267,4860,1708,55565,0.3180861512557879,0.42968553459119496,0.2565930956423316,0.5577381787568402,0.11066770186335403,0.06172360248447205,fourcastnet,ERA5,5,10
358,2089,469,61484,0.14630159378831223,0.5671100362756953,0.12277091906721536,0.3379648549243972,0.037996894409937886,0.012841614906832298,fourcastnet,ERA5,5,20
25501,2578,8480,27841,0.908187613519,0.24955121979929962,0.6975300199677235,1.2101926706791553,0.43600931677018634,0.5276552795031056,gencast,ERA5,5,1
10241,3256,6330,44573,0.758761206193969,0.38199263774063125,0.5165178796590508,1.2277543157738757,0.20958074534161492,0.2573136645962733,gencast,ERA5,5,5
3819,3308,3007,54266,0.5358495860811,0.44052153530618227,0.376850207223209,0.9577662410551424,0.11066770186335403,0.10599378881987577,gencast,ERA5,5,10
698,1749,781,61172,0.28524724152022884,0.5280594996619338,0.21623296158612143,0.6044135676338374,0.037996894409937886,0.02296583850931677,gencast,ERA5,5,20
25072,3007,18265,18056,0.8929092916414402,0.42146433763296953,0.5409977559123079,1.5433954200648172,0.43600931677018634,0.6729347826086957,graphcast,ERA5,5,1
6953,6544,10125,40778,0.5151515151515151,0.5928680173322403,0.2943442553551774,1.265318218863451,0.20958074534161492,0.2651863354037267,graphcast,ERA5,5,5
1961,5166,4494,52779,0.2751508348533745,0.6962044926413633,0.16874623526374666,0.905710677704504,0.11066770186335403,0.10023291925465838,graphcast,ERA5,5,10
196,2251,654,61299,0.08009807928075194,0.7694117647058824,0.06320541760722348,0.34736411932979155,0.037996894409937886,0.013198757763975156,graphcast,ERA5,5,20
