hits,misses,false_alarms,correct_negatives,pod,far,csi,frequency_bias,observed_event_rate,forecast_event_rate,model,obs,lead_day,threshold_mm_day,season
375,463,384,28986,0.44749403341288785,0.5059288537549407,0.306873977086743,0.905727923627685,0.027740995762711863,0.025125794491525424,gencast,ERA5,1,20,JF
8019,1386,1690,19113,0.8526315789473684,0.1740653002368936,0.7227579990986931,1.0323232323232323,0.3113413665254237,0.3214049258474576,graphcast,ERA5,1,1,JF
3356,2276,1171,23405,0.5958806818181818,0.2586702010161255,0.4933117742172571,0.8037997159090909,0.1864406779661017,0.14986096398305085,graphcast,ERA5,1,5,JF
1311,1903,980,26014,0.4079029247044182,0.4277608031427324,0.31258941344778257,0.7128189172370878,0.10639565677966102,0.07584083686440678,graphcast,ERA5,1,10,JF
220,618,339,29031,0.26252983293556087,0.6064400715563506,0.18691588785046728,0.6670644391408115,0.027740995762711863,0.018505031779661018,graphcast,ERA5,1,20,JF
8594,811,2740,18063,0.9137692716640085,0.2417504852655726,0.7076163030053519,1.205103668261563,0.3113413665254237,0.3751986228813559,neuralgcm,ERA5,1,1,JF
4228,1404,1837,22739,0.7507102272727273,0.3028854080791426,0.5660731021555764,1.0768821022727273,0.1864406779661017,0.20077462923728814,neuralgcm,ERA5,1,5,JF
1585,1629,1297,25697,0.49315494710640945,0.4500346981263012,0.3513633340722678,0.896701929060361,0.10639565677966102,0.0954051906779661,neuralgcm,ERA5,1,10,JF
168,670,320,29050,0.20047732696897375,0.6557377049180327,0.14507772020725387,0.5823389021479713,0.027740995762711863,0.01615466101694915,neuralgcm,ERA5,1,20,JF
7844,1205,1835,18300,0.8668361144877887,0.18958570100216965,0.7206909224549798,1.0696209525914466,0.3100671600877193,0.33165433114035087,fourcastnet,ERA5,3,1,JF
2867,2488,814,23015,0.5353874883286648,0.22113556098886172,0.464743070189658,0.6873949579831933,0.18349095394736842,0.12613075657894737,fourcastnet,ERA5,3,5,JF
895,2134,360,25795,0.2954770551337075,0.2868525896414343,0.26408970197698434,0.414328161109277,0.10378974780701754,0.043003015350877194,fourcastnet,ERA5,3,10,JF
96,681,74,28333,0.12355212355212356,0.43529411764705883,0.1128084606345476,0.2187902187902188,0.026624177631578948,0.005825109649122807,fourcastnet,ERA5,3,20,JF
8242,807,1684,18451,0.9108188750138136,0.1696554503324602,0.7679120469579801,1.096916786385236,0.3100671600877193,0.34011787280701755,gencast,ERA5,3,1,JF
4259,1096,1480,22349,0.7953314659197012,0.25788464889353546,0.6231163130943672,1.0717086834733893,0.18349095394736842,0.19664884868421054,gencast,ERA5,3,5,JF
1782,1247,1023,25132,0.588312974579069,0.36470588235294116,0.4397828232971372,0.9260482007263123,0.10378974780701754,0.09611430921052631,gencast,ERA5,3,10,JF
218,559,226,28181,0.2805662805662806,0.509009009009009,0.21734795613160518,0.5714285714285714,0.026624177631578948,0.015213815789473685,gencast,ERA5,3,20,JF
8144,905,4039,16096,0.8999889490551443,0.3315275383731429,0.6222493887530562,1.3463366117803073,0.3100671600877193,0.4174547697368421,graphcast,ERA5,3,1,JF
2866,2489,1982,21847,0.5352007469654528,0.4088283828382838,0.3906228703829903,0.9053221288515406,0.18349095394736842,0.16611842105263158,graphcast,ERA5,3,5,JF
738,2291,939,25216,0.24364476724991746,0.5599284436493739,0.18598790322580644,0.5536480686695279,0.10378974780701754,0.057462993421052634,graphcast,ERA5,3,10,JF
60,717,126,28281,0.07722007722007722,0.6774193548387096,0.0664451827242525,0.23938223938223938,0.026624177631578948,0.006373355263157895,graphcast,ERA5,3,20,JF
8264,785,3030,17105,0.9132500828820864,0.26828404462546485,0.6841625962414107,1.248093712012377,0.3100671600877193,0.38699287280701755,neuralgcm,ERA5,3,1,JF
4043,1312,2030,21799,0.7549953314659197,0.33426642516054667,0.5474610697359512,1.134080298786181,0.18349095394736842,0.20809347587719298,neuralgcm,ERA5,3,5,JF
1370,1659,1140,25015,0.4522944866292506,0.4541832669322709,0.3286159750539698,0.828656322218554,0.10378974780701754,0.08600603070175439,neuralgcm,ERA5,3,10,JF
139,638,154,28253,0.1788931788931789,0.5255972696245734,0.14930182599355532,0.3770913770913771,0.026624177631578948,0.010039747807017545,neuralgcm,ERA5,3,20,JF
