model,obs,lead_day,threshold_mm_day,season,brier_score,event_rate,bss,reliability,resolution,uncertainty
neuralgcm,ERA5,1,20,JF,0.027455632363762018,0.027662117567331848,-0.0197445772519651,0.0038799407373848686,0.0033474011965628167,0.026971432916805066
neuralgcm,ERA5,3,1,JF,0.08969316522900085,0.31058023594688045,0.5821823660564152,0.005163757842673941,0.12970742109535446,0.21392551632285595
neuralgcm,ERA5,3,5,JF,0.08061630112779146,0.18361720597519657,0.4638146523202842,0.003641932322450687,0.07313158218579505,0.14982202376685316
neuralgcm,ERA5,3,10,JF,0.06703448980786912,0.10372266009356934,0.2804667372980705,0.002693373051278644,0.028781669854065925,0.09301743605717323
neuralgcm,ERA5,3,20,JF,0.02337604261362648,0.02654312082689938,0.09643231391251239,0.0010654858546061336,0.003564561169171072,0.025915330797021078
neuralgcm,ERA5,5,1,JF,0.08380647180636848,0.3105232023411031,0.6094811450509039,0.003596207590292977,0.13396751420670566,0.21390539752550358
neuralgcm,ERA5,5,5,JF,0.0806936038379818,0.1815540104789694,0.4584306328366712,0.0037698934244434837,0.07185215948324708,0.14851159844516723
neuralgcm,ERA5,5,10,JF,0.06911319336407608,0.10189041693182216,0.2461018518644773,0.00402948366092326,0.026562245668203092,0.09155868530273438
neuralgcm,ERA5,5,20,JF,0.02257595211167816,0.02541916121870933,0.08938639691634265,0.0005116670938874547,0.0027326557221803265,0.024847053969201963
neuralgcm,ERA5,7,1,JF,0.0938005846241025,0.3108734252194879,0.563031176305907,0.005818695372811886,0.12632857272539236,0.2140376633195616
neuralgcm,ERA5,7,5,JF,0.08593827617181801,0.17988491900712184,0.41915334171762064,0.005299319002724189,0.06710226905410759,0.14744711278723244
