nominal_coverage,empirical_coverage,mean_width,model,obs,lead_day,season
0.5,0.3638071509433242,1.6715076926157237,neuralgcm,CHIRPS,3,JJAS
0.8,0.5633861710109551,2.9669973390103457,neuralgcm,CHIRPS,3,JJAS
0.9,0.606148873788975,3.67181962931191,neuralgcm,CHIRPS,3,JJAS
0.5,0.3486528623815996,1.6519443778739769,neuralgcm,CHIRPS,5,JJAS
0.8,0.5593097869492739,2.9831095074160827,neuralgcm,CHIRPS,5,JJAS
0.9,0.6020523877260128,3.69275294226097,neuralgcm,CHIRPS,5,JJAS
0.5,0.3397384157397527,1.714431661457001,neuralgcm,CHIRPS,7,JJAS
0.8,0.5692633342255772,3.057920357143641,neuralgcm,CHIRPS,7,JJAS
0.9,0.6113126841144081,3.7591752925383006,neuralgcm,CHIRPS,7,JJAS
0.5,0.3099453447144985,1.178057904607912,neuralgcm,ERA5,1,JJAS
0.8,0.5305669598718536,2.1605988012623687,neuralgcm,ERA5,1,JJAS
0.9,0.5908311632200326,2.698265590229098,neuralgcm,ERA5,1,JJAS
0.5,0.38800484501515003,1.6715076926157237,neuralgcm,ERA5,3,JJAS
0.8,0.6077465897315699,2.9669973390103457,neuralgcm,ERA5,3,JJAS
0.9,0.6679172230443705,3.67181962931191,neuralgcm,ERA5,3,JJAS
0.5,0.3891199172062121,1.6519443778739769,neuralgcm,ERA5,5,JJAS
0.8,0.6211062938181829,2.9831095074160827,neuralgcm,ERA5,5,JJAS
0.9,0.6833974013708355,3.69275294226097,neuralgcm,ERA5,5,JJAS
0.5,0.3950371986373545,1.714431661457001,neuralgcm,ERA5,7,JJAS
0.8,0.6398760327798763,3.057920357143641,neuralgcm,ERA5,7,JJAS
0.9,0.7010287179787387,3.7591752925383006,neuralgcm,ERA5,7,JJAS
0.5,0.23906301821041917,1.4757354818231898,gencast,CHIRPS,1,OND
0.8,0.3708304479199361,2.788664165130229,gencast,CHIRPS,1,OND
0.9,0.4101308067565289,3.573428063193944,gencast,CHIRPS,1,OND
0.5,0.25331655219251487,1.8345297041789304,gencast,CHIRPS,3,OND
0.8,0.40709985523698117,3.4341580738484403,gencast,CHIRPS,3,OND
0.9,0.447875102127111,4.430862894031304,gencast,CHIRPS,3,OND
0.5,0.2630599861662097,1.9969003298041272,gencast,CHIRPS,5,OND
0.8,0.42106509117403934,3.8177740039588928,gencast,CHIRPS,5,OND
0.9,0.4648746220627504,4.992335060118678,gencast,CHIRPS,5,OND
0.5,0.27352675159311285,2.0074121410038166,gencast,CHIRPS,7,OND
0.8,0.4445609413368188,3.8716820325699444,gencast,CHIRPS,7,OND
0.9,0.48342268119098664,5.013015561695644,gencast,CHIRPS,7,OND
0.5,0.35684799382305954,1.4757354818231898,gencast,ERA5,1,OND
